anubis_ethiopia,cyno_western,hamadryas,kindae,papio,ursinus,north,norm_north,start,south_percentage,end,pos
656975.6511627907,984807.1069767441,237136.24651162792,42981.051162790696,67959.80465116279,10140.139534883721,962071.7023255813,-37928.2976744186,2800022.0,0.5189641488372092,2900021.0,2800022.0
656975.6511627907,984807.1069767441,237136.24651162792,42981.051162790696,67959.80465116279,10140.139534883721,962071.7023255813,-37928.2976744186,2800022.0,0.5189641488372092,2900021.0,2900021.0
738086.3441860465,909155.0511627907,202621.96279069767,62158.376744186055,79875.93023255814,8102.334883720931,1020584.2372093024,20584.237209302326,2900022.0,0.4897078813953488,3000021.0,2900022.0
738086.3441860465,909155.0511627907,202621.96279069767,62158.376744186055,79875.93023255814,8102.334883720931,1020584.2372093024,20584.237209302326,2900022.0,0.4897078813953488,3000021.0,3000021.0
683102.2372093024,803762.758139535,197602.17674418603,85322.0046511628,211955.41395348837,18255.40930232558,1092659.827906977,92659.82790697673,3000022.0,0.45367008604651166,3100021.0,3000022.0
683102.2372093024,803762.758139535,197602.17674418603,85322.0046511628,211955.41395348837,18255.40930232558,1092659.827906977,92659.82790697673,3000022.0,0.45367008604651166,3100021.0,3100021.0
702851.6,732010.5209302326,162187.08372093024,132772.76279069768,252305.66976744187,17872.362790697673,1117344.3534883722,117344.35348837209,3100022.0,0.441327823255814,3200021.0,3100022.0
702851.6,732010.5209302326,162187.08372093024,132772.76279069768,252305.66976744187,17872.362790697673,1117344.3534883722,117344.35348837209,3100022.0,0.441327823255814,3200021.0,3200021.0
757729.9767441859,729770.3395348837,129458.93953488374,161505.34418604654,203516.74418604653,18018.65581395349,1090705.6604651161,90705.66046511626,3200022.0,0.4546471697674418,3300021.0,3200022.0
757729.9767441859,729770.3395348837,129458.93953488374,161505.34418604654,203516.74418604653,18018.65581395349,1090705.6604651161,90705.66046511626,3200022.0,0.4546471697674418,3300021.0,3300021.0
723300.8,611480.2604651162,209468.84651162793,196399.25581395352,242018.6186046512,17332.218604651163,1174788.265116279,174788.26511627907,3300022.0,0.4126058674418605,3400021.0,3300022.0
723300.8,611480.2604651162,209468.84651162793,196399.25581395352,242018.6186046512,17332.218604651163,1174788.265116279,174788.26511627907,3300022.0,0.4126058674418605,3400021.0,3400021.0
738649.7720930233,517371.04186046513,333567.0511627907,162135.911627907,231578.1720930233,16698.0511627907,1303794.9953488372,303794.9953488372,3400022.0,0.3481025023255814,3500021.0,3400022.0
738649.7720930233,517371.04186046513,333567.0511627907,162135.911627907,231578.1720930233,16698.0511627907,1303794.9953488372,303794.9953488372,3400022.0,0.3481025023255814,3500021.0,3500021.0
797006.6279069768,527867.4279069768,413580.711627907,150270.08372093024,101894.78139534885,9380.367441860464,1312482.1209302326,312482.1209302326,3500022.0,0.34375893953488373,3600021.0,3500022.0
797006.6279069768,527867.4279069768,413580.711627907,150270.08372093024,101894.78139534885,9380.367441860464,1312482.1209302326,312482.1209302326,3500022.0,0.34375893953488373,3600021.0,3600021.0
798935.1720930233,496747.3348837209,519113.2279069767,109254.7581395349,59895.08372093025,16054.423255813954,1377943.4837209303,377943.4837209302,3600022.0,0.3110282581395349,3700021.0,3600022.0
798935.1720930233,496747.3348837209,519113.2279069767,109254.7581395349,59895.08372093025,16054.423255813954,1377943.4837209303,377943.4837209302,3600022.0,0.3110282581395349,3700021.0,3700021.0
741914.3674418605,531450.2279069767,554806.7441860464,93406.30697674419,56508.11627906978,21914.237209302322,1353229.2279069768,353229.2279069767,3700022.0,0.3233853860465116,3800021.0,3700022.0
741914.3674418605,531450.2279069767,554806.7441860464,93406.30697674419,56508.11627906978,21914.237209302322,1353229.2279069768,353229.2279069767,3700022.0,0.3233853860465116,3800021.0,3800021.0
751942.4325581396,611944.5627906977,530585.0697674418,64878.39534883721,14562.613953488373,26086.925581395346,1297090.1162790698,297090.11627906974,3800022.0,0.3514549418604651,3900021.0,3800022.0
751942.4325581396,611944.5627906977,530585.0697674418,64878.39534883721,14562.613953488373,26086.925581395346,1297090.1162790698,297090.11627906974,3800022.0,0.3514549418604651,3900021.0,3900021.0
718660.6232558141,783982.953488372,410460.83720930235,49811.41395348837,11285.437209302325,25798.734883720932,1140406.8976744188,140406.89767441858,3900022.0,0.4297965511627907,4000021.0,3900022.0
718660.6232558141,783982.953488372,410460.83720930235,49811.41395348837,11285.437209302325,25798.734883720932,1140406.8976744188,140406.89767441858,3900022.0,0.4297965511627907,4000021.0,4000021.0
695244.6697674419,930366.3255813953,295034.22325581394,38682.56744186047,11761.841860465118,28910.372093023256,1002040.734883721,2040.7348837209224,4000022.0,0.4989796325581395,4100021.0,4000022.0
695244.6697674419,930366.3255813953,295034.22325581394,38682.56744186047,11761.841860465118,28910.372093023256,1002040.734883721,2040.7348837209224,4000022.0,0.4989796325581395,4100021.0,4100021.0
673010.2418604651,990080.6232558138,233481.94883720932,29379.776744186045,12398.981395348837,61648.42790697674,918891.1720930233,-81108.82790697676,4100022.0,0.5405544139534884,4200021.0,4100022.0
673010.2418604651,990080.6232558138,233481.94883720932,29379.776744186045,12398.981395348837,61648.42790697674,918891.1720930233,-81108.82790697676,4100022.0,0.5405544139534884,4200021.0,4200021.0
683308.9348837209,1001946.9767441859,230554.16279069768,14147.297674418605,15759.818604651164,54282.80930232558,929622.9162790698,-70377.08372093024,4200022.0,0.5351885418604652,4300021.0,4200022.0
683308.9348837209,1001946.9767441859,230554.16279069768,14147.297674418605,15759.818604651164,54282.80930232558,929622.9162790698,-70377.08372093024,4200022.0,0.5351885418604652,4300021.0,4300021.0
